厦门大学产业技术研究院,cyjsyjy@xmu.edu.cn,0592-2189086,
厦门大学考古人类学教学实验中心,rwxynet@xmu.edu.cn,2186377,
厦门大学校务信箱系统,xiaoban@xmu.edu.cn,0592-2180000,厦门大学思明校区颂恩楼17楼1719室
厦门大学校友总会,alumnixm@xmu.edu.cn,2187222,福建省厦门市思明南路422号
厦门大学分析测试中心,xmuatc@xmu.edu.cn,0592-2188336,
厦门大学航空航天学院自动化系,auto@xmu.edu.cn,0592-2580186,福建省厦门市翔安区翔安南路4221-134号厦门大学翔安校区航空航天学院自动化系邮编
厦门大学保卫部,bwcyjx@xmu.edu.cn,2188976,
厦门大学海洋与地球学院,zzf19850106@xmu.edu.cn,,
厦门大学通信工程系,ce@xmu.edu.cn,,厦门大学海韵校区
厦门大学继续教育管理处,jjgc@xmu.edu.cn,0592-2186292,
厦门大学化学化工学院,chem-xmu@xmu.edu.cn,0592-2182430,福建厦门市厦门大学化学化工学院
厦门大学外文学院,cflc@xmu.edu.cn,2182476,福建省厦门市思明区思明南路422号
厦门大学高等教育发展研究中心,xmdxgjzx@xmu.edu.cn,0592-2189065,福建省厦门市思明区思明南路422号
厦门大学化学生物学系,dchembio@xmu.edu.cn,0592-2182803,
厦门大学特聘教授,cmxmu@xmu.edu.cn,0592-2189013,
欢迎来到厦门大学教师发展中心,jsfz@xmu.edu.cn,,
厦门大学网络空间安全系,css@xmu.edu.cn,,厦门大学海韵园电话
厦门大学人工智能系,cogsci@xmu.edu.cn,0592-2580258,
厦门大学档案馆,archives@xmu.edu.cn,0592-2182239,
厦门大学讲座报名系统,shining@xmu.edu.cn,0592-2888315,
厦门大学经济学系,univer@163.com,,福建厦门市厦门大学经济楼经济学系
厦门大学,ectech@xmu.edu.cn,0592-2184800,
厦门大学,eed@xmu.edu.cn,2580041,厦门大学海韵园区
厦门大学电子科学系,esci@xmu.edu.cn,0592-2189426,厦门大学海韵校区物理大楼
厦门大学,ftcc@xmu.edu.cn,0592-2184708,厦门大学曾呈奎楼B410
厦门大学金融系,finance@xmu.edu.cn,2186340,
厦门大学国内合作办公室,gnhz@xmu.edu.cn,0592-2187208,福建省厦门市思明区思明南路422号颂恩楼9楼
厦门大学国际经济与贸易系,lrli@xmu.edu.cn,,
厦门大学头条号,xmujcc@xmu.edu.cn,0592-2180000,厦门大学思明校区颂恩楼15楼
厦门大学国际关系学院,nanyang@xmu.edu.cn,0592-2186414,厦门大学南安楼
厦门大学研究生院,YJSY@XMU.EDU.CN,0592-2186259,
厦门大学医院,xdyy@xmu.edu.cn,0592-2186229,厦门市思明区大学路172号
厦门大学后勤集团,hqjt@xmu.edu.cn,0592-2187618,厦门大学东村综合楼二楼，
厦门大学化学实验教学中心,chemsyzx@xmu.edu.cn,0592-2182444,
厦门大学国际学术交流中心,xmuiaec@qq.com,0592-2188922,厦门市思明南路422号
厦门大学人工智能研究院,iai@xmu.edu.cn,0592-2188642,厦门大学海韵园行政B楼705,
厦门大学国际合作与交流处,ws@xmu.edu.cn,,中国福建省厦门市思明南路422号厦门大学颂恩楼8楼
厦门大学财务管理与会计研究院,ifas@xmu.edu.cn,2181787,
厦门大学机关党委,jgdw@xmu.edu.cn,0592-2188825,厦门市思明区思明南路422号
厦门大学人才招聘网,recruit@xmu.edu.cn,0592-2186239,
厦门大学组织部,jsgzb@xmu.edu.cn,0592-2188924,福建省厦门市思明区思明南路422号厦门大学嘉庚主楼14楼
厦门大学学生就业创业指导中心,2184550@xmu.edu.cn,0592-2188160,厦门市思明区厦门大学嘉庚三5#楼
厦门大学经济研究所,lcliao@xmu.edu.cn,0592-2184582,厦门大学经济楼
厦门大学实验动物中心,lacgao@126.comCopyright,,
厦门大学德旺图书馆,xalib@xmu.edu.cn,2888325,
厦门大学法学院,law@xmu.edu.cn,,
厦门大学中外合作办学项目,liuxue@xmu.edu.cn,0592-2181672,
厦门大学SPOC平台,moodle@xmu.edu.cn,2182361,
厦门大学微电子与集成电路系,gzc@xmu.edu.cn,,
厦门大学继续教育学院,kf@xmu.edu.cn,0592-2181726,
厦门大学软件正版化,service@xmu.edu.cn,0592-2183508,
厦门大学海外教育学院,oecbgs@xmu.edu.cn,2093346,
厦门大学专场”,guozhong@xmu.edu.cn,,
厦门大学博士后,bsh@xmu.edu.cn,0592-2187039,福建省厦门市思明区思明南路422号厦门大学人事处
厦门大学南海研究院,scsi@xmu.edu.cn,0592-2181920,
您好，欢迎访问厦门大学审计处网站，今天是,sjc@xmu.edu.cn,0592-2185500,
