vaild_orgs,vaild_urls
数学科学学院,http://math.xmu.edu.cn/
物理科学与技术学院（理学部分）,https://cpst.xmu.edu.cn/
物理学系,https://phys.xmu.edu.cn/
天文学系,https://astro.xmu.edu.cn/
化学化工学院（理学部分）,https://chem.xmu.edu.cn/
化学工程与生物工程系,https://cbe.xmu.edu.cn/
化学生物学系,https://chembio.xmu.edu.cn/
醇醚酯化工清洁生产国家工程实验室（厦门大学）,https://nel.xmu.edu.cn/
能源材料化学协同创新中心（厦门大学、复旦大学、中国科学技术大学、中国科学院大连化学研究所）,https://2011-ichem.xmu.edu.cn/
谱学分析与仪器教育部重点实验室,https://scai.xmu.edu.cn/
电化学技术教育部工程研究中心 ,https://ec.xmu.edu.cn/
教育部物理化学研究所,https://chem.xmu.edu.cn/info/1079/8478.htm
国家级化学实验教学示范中心,https://hxsyzx.xmu.edu.cn/
福建省化学生物学重点实验室,https://chembiolab.xmu.edu.cn/
厦门市分子纳米技术与分析科学重点实验室,https://chem.xmu.edu.cn/info/1079/8518.htm
理论化学研究中心,http://ctc.xmu.edu.cn/
固体表面物理化学国家重点实验室,https://pcss.xmu.edu.cn/
能源材料化学协同创新中心,https://2011-ichem.xmu.edu.cn/
人文学院,http://rwxy.xmu.edu.cn
中国语言文学系,https://chinese.xmu.edu.cn
历史学系,https://history.xmu.edu.cn
哲学系,https://phi.xmu.edu.cn
人类学与民族学系,http://anthro.xmu.edu.cn
人类博物馆,http://rlbwg.xmu.edu.cn
人类学研究中心,http://rlx.xmu.edu.cn
海洋考古学研究中心,http://cmaxmu.xmu.edu.cn
厦门大学知识论与认知科学研究中心,http://epistemology.xmu.edu.cn
厦门大学文化发展研究院,http://cdi.xmu.edu.cn
（福建）省级考古人类学实验教学示范中心,http://aalc.xmu.edu.cn
新闻传播学院,http://comm.xmu.edu.cn
外文学院,https://cflc.xmu.edu.cn
艺术学院,https://art.xmu.edu.cn
国际中文教育学院/海外教育学院,http://oec.xmu.edu.cn
华文系,http://oec.xmu.edu.cn/
国际学院,https://liuxue.xmu.edu.cn/
创意与创新学院,https://ici.xmu.edu.cn/
电影学院,http://film.xmu.edu.cn/
经济学院,https://soe.xmu.edu.cn
经济学系,http://econ.xmu.edu.cn
统计学与数据科学系,http://stats.xmu.edu.cn
财政系,http://czx.xmu.edu.cn
金融系,http://finance.xmu.edu.cn
国际经济与贸易系,http://gjjmx.xmu.edu.cn
厦门大学经济研究所,http://jys.xmu.edu.cn
厦门大学宏观经济研究中心,http://cmr.xmu.edu.cn
厦门大学经济与管理教学实验中心,http://elc.xmu.edu.cn
厦门大学中国能源经济研究中心,https://cceer.xmu.edu.cn
王亚南经济研究院,http://wise.xmu.edu.cn
计量经济学教育部重点实验室（厦门大学）,http://wise.xmu.edu.cn/moe
厦门大学经济学科虚拟仿真实验教学中心,http://se.xmu.edu.cn/virlab/
实验经济金融实验室,http://feel.xmu.edu.cn/
管理学院,https://sm.xmu.edu.cn
工商管理教育中心（MBA中心）,http://mba.xmu.edu.cn/
高级经理教育中心（EMBA项目）,https://emba.xmu.edu.cn/index.jsp
厦门大学会计发展研究中心,https://acccen.xmu.edu.cn/
财务管理与会计研究院,http://ifas.xmu.edu.cn/
法学院,https://law.xmu.edu.cn/
公共事务学院,https://spa.xmu.edu.cn/
 妇女/性别研究与培训基地（全国妇联共建）,https://xdfnjd.xmu.edu.cn/
厦门大学新西兰研究中心,https://nzc.xmu.edu.cn/
公共政策研究院,http://spp.xmu.edu.cn/
厦门大学公共服务质量研究中心 （“福建省社会科学研究基地”）,http://psq.xmu.edu.cn/
马克思主义学院,https://marx.xmu.edu.cn/
厦门大学中国特色社会主义研究中心,https://sccmarx.xmu.edu.cn/
国际关系学院/南洋研究院,https://guoguan.xmu.edu.cn/
厦门大学东南亚研究中心,https://nanyang.xmu.edu.cn/
教育研究院,https://ihe.xmu.edu.cn/
厦门大学高等教育科学研究所,https://ihe.xmu.edu.cn/
厦门大学高等教育发展研究中心,https://che.xmu.edu.cn/
厦门大学考试研究中心,https://ksyj.xmu.edu.cn/
厦门大学高等教育质量与评估研究所,https://iheqa.xmu.edu.cn/
厦门大学中外合作办学研究中心,https://cfcrs.xmu.edu.cn/
